participant_id,topic,q_order,q_id,timepoint,logodds_assigned_to_correct,logodds_assigned_to_model_guess,correctness,confidence,numeracy,crt2,model_correct,extra_incentive,show_debate,filler_score,core_score,total_logic_score,lolo_attempted,lolo_correct
03MSi5HlM6,Surgery,1,stim47_Surgery_wrong_key-b,0,-1.6078307735144535,1.6078307735144535,0,2,3,1,False,True,False,12.0,9.0,21.0,True,False
03MSi5HlM6,Surgery,1,stim47_Surgery_wrong_key-b,1,-3.1299154589672864,3.1299154589672864,0,3,3,1,False,True,False,12.0,9.0,21.0,True,False
03MSi5HlM6,Machine-Generated,2,stim177_Machine-Generated_Lojban_correct_key-b,0,0.0009200000648905895,0.0009200000648905895,1,1,3,1,True,True,False,12.0,9.0,21.0,True,False
03MSi5HlM6,Machine-Generated,2,stim177_Machine-Generated_Lojban_correct_key-b,1,3.9036216008233455,3.9036216008233455,1,4,3,1,True,True,False,12.0,9.0,21.0,True,False
03MSi5HlM6,Contracts,3,stim113_Contracts_correct_key-a,0,2.158280208984051,2.158280208984051,1,3,3,1,True,True,False,12.0,9.0,21.0,True,False
03MSi5HlM6,Contracts,3,stim113_Contracts_correct_key-a,1,3.2162166908432748,3.2162166908432748,1,4,3,1,True,True,False,12.0,9.0,21.0,True,False
03MSi5HlM6,Evidence,4,stim50_Evidence_correct_key-a,0,-0.25562289639817815,-0.25562289639817815,0,1,3,1,True,True,False,12.0,9.0,21.0,True,False
03MSi5HlM6,Evidence,4,stim50_Evidence_correct_key-a,1,0.5383994047724855,0.5383994047724855,1,1,3,1,True,True,False,12.0,9.0,21.0,True,False
73P6jrNg0W,Surgery,1,stim47_Surgery_wrong_key-b,0,-0.0657837129727268,0.06578371297272669,0,1,6,1,False,False,True,12.0,8.0,20.0,True,False
73P6jrNg0W,Surgery,1,stim47_Surgery_wrong_key-b,1,-1.9746528718579357,1.9746528718579357,0,3,6,1,False,False,True,12.0,8.0,20.0,True,False
73P6jrNg0W,Machine-Generated,2,stim177_Machine-Generated_Lojban_correct_key-b,0,0.0009200000648905895,0.0009200000648905895,1,1,6,1,True,False,True,12.0,8.0,20.0,True,False
73P6jrNg0W,Machine-Generated,2,stim177_Machine-Generated_Lojban_correct_key-b,1,1.9029938917765692,1.9029938917765692,1,3,6,1,True,False,True,12.0,8.0,20.0,True,False
73P6jrNg0W,Contracts,3,stim113_Contracts_correct_key-a,0,0.05245202225671892,0.05245202225671892,1,1,6,1,True,False,True,12.0,8.0,20.0,True,False
73P6jrNg0W,Contracts,3,stim113_Contracts_correct_key-a,1,2.158280208984051,2.158280208984051,1,4,6,1,True,False,True,12.0,8.0,20.0,True,False
73P6jrNg0W,Evidence,4,stim50_Evidence_correct_key-a,0,-0.0009200000648906323,-0.0009200000648906323,0,1,6,1,True,False,True,12.0,8.0,20.0,True,False
